Data,Horario,Dia,Mês,Ano,Nome completo,Contexto do Evento,Total do curso (Real)
2021-06-15,15:40,Terça-feira,Junho,2021,Estudante001,Curso: CIT7139-02652A (20211) - Programação em Computadores,9.8
2021-06-15,16:58,Terça-feira,Junho,2021,Estudante002,Curso: CIT7139-02652A (20211) - Programação em Computadores,10.0
2021-06-15,18:07,Terça-feira,Junho,2021,Estudante003,Curso: CIT7139-02652A (20211) - Programação em Computadores,9.3
2021-06-15,18:08,Terça-feira,Junho,2021,Estudante003,Curso: CIT7139-02652A (20211) - Programação em Computadores,9.3
2021-06-15,18:08,Terça-feira,Junho,2021,Estudante003,Curso: CIT7139-02652A (20211) - Programação em Computadores,9.3
2021-06-15,18:08,Terça-feira,Junho,2021,Estudante003,Curso: CIT7139-02652A (20211) - Programação em Computadores,9.3
2021-06-15,18:08,Terça-feira,Junho,2021,Estudante003,Curso: CIT7139-02652A (20211) - Programação em Computadores,9.3
2021-06-15,18:08,Terça-feira,Junho,2021,Estudante003,Curso: CIT7139-02652A (20211) - Programação em Computadores,9.3
2021-06-15,18:08,Terça-feira,Junho,2021,Estudante003,URL: Acesso à sala de aula virtual,9.3
2021-06-15,18:09,Terça-feira,Junho,2021,Estudante003,Curso: CIT7139-02652A (20211) - Programação em Computadores,9.3
2021-06-15,18:10,Terça-feira,Junho,2021,Estudante003,Curso: CIT7139-02652A (20211) - Programação em Computadores,9.3
2021-06-15,18:11,Terça-feira,Junho,2021,Estudante003,Arquivo: JAVA - Introdução - Slides,9.3
2021-06-15,18:12,Terça-feira,Junho,2021,Estudante003,URL: Acesso à sala de aula virtual,9.3
2021-06-15,18:12,Terça-feira,Junho,2021,Estudante003,Arquivo: JAVA - Introdução - Slides,9.3
2021-06-15,18:12,Terça-feira,Junho,2021,Estudante003,Curso: CIT7139-02652A (20211) - Programação em Computadores,9.3
2021-06-15,18:13,Terça-feira,Junho,2021,Estudante003,URL: Acesso à sala de aula virtual,9.3
2021-06-15,18:13,Terça-feira,Junho,2021,Estudante003,Curso: CIT7139-02652A (20211) - Programação em Computadores,9.3
2021-06-15,18:17,Terça-feira,Junho,2021,Estudante003,Curso: CIT7139-02652A (20211) - Programação em Computadores,9.3
2021-06-15,18:19,Terça-feira,Junho,2021,Estudante004,Curso: CIT7139-02652A (20211) - Programação em Computadores,8.2
2021-06-15,18:20,Terça-feira,Junho,2021,Estudante005,Curso: CIT7139-02652A (20211) - Programação em Computadores,7.2
2021-06-15,18:20,Terça-feira,Junho,2021,Estudante001,Curso: CIT7139-02652A (20211) - Programação em Computadores,9.8
2021-06-15,18:21,Terça-feira,Junho,2021,Estudante004,Arquivo: Plano de Ensino 2021.01,8.2
2021-06-15,18:21,Terça-feira,Junho,2021,Estudante003,Curso: CIT7139-02652A (20211) - Programação em Computadores,9.3
2021-06-15,18:21,Terça-feira,Junho,2021,Estudante003,Arquivo: POO - Slides,9.3
2021-06-15,18:21,Terça-feira,Junho,2021,Estudante003,Curso: CIT7139-02652A (20211) - Programação em Computadores,9.3
2021-06-15,18:21,Terça-feira,Junho,2021,Estudante003,Laboratório Virtual de Programação: Impressão de números,9.3
2021-06-15,18:21,Terça-feira,Junho,2021,Estudante004,Arquivo: Lista de exercícios resolvidos em Java,8.2
2021-06-15,18:23,Terça-feira,Junho,2021,Estudante001,URL: Acesso à sala de aula virtual,9.8
2021-06-15,18:24,Terça-feira,Junho,2021,Estudante004,Arquivo: JAVA - Introdução - Slides,8.2
2021-06-15,18:25,Terça-feira,Junho,2021,Estudante003,Arquivo: JAVA - Introdução - Slides,9.3
2021-06-15,18:26,Terça-feira,Junho,2021,Estudante003,Curso: CIT7139-02652A (20211) - Programação em Computadores,9.3
2021-06-15,18:26,Terça-feira,Junho,2021,Estudante003,Curso: CIT7139-02652A (20211) - Programação em Computadores,9.3
2021-06-15,18:27,Terça-feira,Junho,2021,Estudante001,Curso: CIT7139-02652A (20211) - Programação em Computadores,9.8
2021-06-15,18:29,Terça-feira,Junho,2021,Estudante002,Curso: CIT7139-02652A (20211) - Programação em Computadores,10.0
2021-06-15,18:33,Terça-feira,Junho,2021,Estudante006,Curso: CIT7139-02652A (20211) - Programação em Computadores,6.7
2021-06-15,18:35,Terça-feira,Junho,2021,Estudante006,URL: Acesso à sala de aula virtual,6.7
2021-06-15,18:35,Terça-feira,Junho,2021,Estudante006,Curso: CIT7139-02652A (20211) - Programação em Computadores,6.7
2021-06-15,18:37,Terça-feira,Junho,2021,Estudante001,Curso: CIT7139-02652A (20211) - Programação em Computadores,9.8
2021-06-15,18:37,Terça-feira,Junho,2021,Estudante001,Curso: CIT7139-02652A (20211) - Programação em Computadores,9.8
2021-06-15,18:37,Terça-feira,Junho,2021,Estudante001,Curso: CIT7139-02652A (20211) - Programação em Computadores,9.8
2021-06-15,18:37,Terça-feira,Junho,2021,Estudante001,Curso: CIT7139-02652A (20211) - Programação em Computadores,9.8
2021-06-15,18:39,Terça-feira,Junho,2021,Estudante005,Arquivo: Plano de Ensino 2021.01,7.2
2021-06-15,18:39,Terça-feira,Junho,2021,Estudante005,Curso: CIT7139-02652A (20211) - Programação em Computadores,7.2
2021-06-15,18:47,Terça-feira,Junho,2021,Estudante006,Curso: CIT7139-02652A (20211) - Programação em Computadores,6.7
2021-06-15,18:54,Terça-feira,Junho,2021,Estudante005,Curso: CIT7139-02652A (20211) - Programação em Computadores,7.2
2021-06-15,18:58,Terça-feira,Junho,2021,Estudante007,Curso: CIT7139-02652A (20211) - Programação em Computadores,0.2
2021-06-15,19:01,Terça-feira,Junho,2021,Estudante001,Arquivo: JAVA - Introdução - Slides,9.8
2021-06-15,19:09,Terça-feira,Junho,2021,Estudante002,Arquivo: JAVA - Introdução - Slides,10.0
2021-06-15,19:12,Terça-feira,Junho,2021,Estudante008,Curso: CIT7139-02652A (20211) - Programação em Computadores,0.5
2021-06-15,19:30,Terça-feira,Junho,2021,Estudante004,Página: Introdução ao Java - Comandos,8.2
2021-06-15,19:30,Terça-feira,Junho,2021,Estudante004,Curso: CIT7139-02652A (20211) - Programação em Computadores,8.2
2021-06-15,19:43,Terça-feira,Junho,2021,Estudante009,Curso: CIT7139-02652A (20211) - Programação em Computadores,9.9
2021-06-15,19:46,Terça-feira,Junho,2021,Estudante003,Página: Introdução ao Java - Olá mundo,9.3
2021-06-15,19:49,Terça-feira,Junho,2021,Estudante003,Curso: CIT7139-02652A (20211) - Programação em Computadores,9.3
2021-06-15,20:13,Terça-feira,Junho,2021,Estudante010,Curso: CIT7139-02652A (20211) - Programação em Computadores,9.8
2021-06-15,20:14,Terça-feira,Junho,2021,Estudante010,Curso: CIT7139-02652A (20211) - Programação em Computadores,9.8
2021-06-15,20:14,Terça-feira,Junho,2021,Estudante010,Arquivo: AtividadePratica01,9.8
2021-06-15,20:14,Terça-feira,Junho,2021,Estudante010,Curso: CIT7139-02652A (20211) - Programação em Computadores,9.8
2021-06-15,20:15,Terça-feira,Junho,2021,Estudante010,Curso: CIT7139-02652A (20211) - Programação em Computadores,9.8
2021-06-15,20:15,Terça-feira,Junho,2021,Estudante010,Arquivo: JAVA - Comandos - Slides,9.8
2021-06-15,20:17,Terça-feira,Junho,2021,Estudante010,Arquivo: AtividadePratica01,9.8
2021-06-15,20:25,Terça-feira,Junho,2021,Estudante005,Página: Introdução ao Java - Olá mundo,7.2
2021-06-16,13:43,Quarta-feira,Junho,2021,Estudante011,Curso: CIT7139-02652A (20211) - Programação em Computadores,5.7
2021-06-16,16:47,Quarta-feira,Junho,2021,Estudante012,Curso: CIT7139-02652A (20211) - Programação em Computadores,9.3
2021-06-16,17:24,Quarta-feira,Junho,2021,Estudante013,Curso: CIT7139-02652A (20211) - Programação em Computadores,8.2
2021-06-16,19:07,Quarta-feira,Junho,2021,Estudante011,Curso: CIT7139-02652A (20211) - Programação em Computadores,5.7
2021-06-16,20:16,Quarta-feira,Junho,2021,Estudante004,Curso: CIT7139-02652A (20211) - Programação em Computadores,8.2
2021-06-16,20:17,Quarta-feira,Junho,2021,Estudante011,Curso: CIT7139-02652A (20211) - Programação em Computadores,5.7
2021-06-16,20:18,Quarta-feira,Junho,2021,Estudante001,Curso: CIT7139-02652A (20211) - Programação em Computadores,9.8
2021-06-16,20:18,Quarta-feira,Junho,2021,Estudante011,Curso: CIT7139-02652A (20211) - Programação em Computadores,5.7
2021-06-16,20:18,Quarta-feira,Junho,2021,Estudante011,Arquivo: AtividadePratica01,5.7
2021-06-16,20:19,Quarta-feira,Junho,2021,Estudante009,Curso: CIT7139-02652A (20211) - Programação em Computadores,9.9
2021-06-16,20:20,Quarta-feira,Junho,2021,Estudante004,Laboratório Virtual de Programação: Impressão de números,8.2
